sklearn/svm/__init__.py  [12 edits, last: 2019-10-18]
sklearn/tree/_export.py  [12 edits, last: 2021-05-14]
sklearn/utils/_mocking.py  [12 edits, last: 2020-09-07]
sklearn/covariance/_empirical_covariance.py  [11 edits, last: 2021-05-14]
sklearn/covariance/_shrunk_covariance.py  [11 edits, last: 2021-05-14]
sklearn/datasets/_kddcup99.py  [11 edits, last: 2021-05-14]
sklearn/ensemble/_gb_losses.py  [11 edits, last: 2021-05-10]
sklearn/linear_model/_bayes.py  [11 edits, last: 2021-05-14]
sklearn/linear_model/_theil_sen.py  [11 edits, last: 2021-05-14]
sklearn/manifold/setup.py  [11 edits, last: 2019-03-27]
sklearn/metrics/cluster/_unsupervised.py  [11 edits, last: 2021-05-14]
sklearn/neural_network/_base.py  [11 edits, last: 2021-03-19]
sklearn/preprocessing/_label.py  [11 edits, last: 2021-05-14]
sklearn/covariance/_elliptic_envelope.py  [10 edits, last: 2021-05-14]
sklearn/covariance/_robust_covariance.py  [10 edits, last: 2021-05-14]
sklearn/datasets/_covtype.py  [10 edits, last: 2021-05-14]
sklearn/datasets/_twenty_newsgroups.py  [10 edits, last: 2021-05-14]
sklearn/datasets/setup.py  [10 edits, last: 2019-10-27]
sklearn/ensemble/_hist_gradient_boosting/loss.py  [10 edits, last: 2021-05-10]
sklearn/neighbors/_nca.py  [10 edits, last: 2021-05-14]
sklearn/neighbors/_nearest_centroid.py  [10 edits, last: 2021-05-14]
sklearn/neighbors/setup.py  [10 edits, last: 2021-04-08]
sklearn/datasets/_rcv1.py  [9 edits, last: 2021-05-14]
sklearn/feature_extraction/_dict_vectorizer.py  [9 edits, last: 2021-05-14]
sklearn/feature_extraction/_hash.py  [9 edits, last: 2021-05-14]
sklearn/linear_model/_glm/glm.py  [9 edits, last: 2021-02-12]
sklearn/metrics/cluster/setup.py  [9 edits, last: 2019-10-23]
sklearn/mixture/_gaussian_mixture.py  [9 edits, last: 2021-05-14]
sklearn/model_selection/__init__.py  [9 edits, last: 2021-05-11]
sklearn/neighbors/_graph.py  [9 edits, last: 2021-05-14]
sklearn/neural_network/_stochastic_optimizers.py  [9 edits, last: 2020-01-21]
sklearn/utils/_show_versions.py  [9 edits, last: 2020-07-11]
sklearn/datasets/_california_housing.py  [8 edits, last: 2021-05-14]
sklearn/datasets/_lfw.py  [8 edits, last: 2021-05-14]
sklearn/linear_model/_huber.py  [8 edits, last: 2021-05-14]
sklearn/linear_model/_passive_aggressive.py  [8 edits, last: 2021-05-14]
sklearn/linear_model/_perceptron.py  [8 edits, last: 2021-05-14]
sklearn/manifold/_isomap.py  [8 edits, last: 2021-05-14]
sklearn/datasets/_olivetti_faces.py  [7 edits, last: 2021-05-14]
sklearn/feature_selection/_mutual_info.py  [7 edits, last: 2021-05-14]
sklearn/inspection/__init__.py  [7 edits, last: 2020-05-25]
sklearn/linear_model/_sag.py  [7 edits, last: 2021-05-14]
sklearn/cross_decomposition/__init__.py  [6 edits, last: 2020-08-31]
sklearn/datasets/_species_distributions.py  [6 edits, last: 2021-05-14]
