sklearn/utils/_show_versions.py  [8 edits, last: 2020-05-15]
sklearn/covariance/_empirical_covariance.py  [7 edits, last: 2020-05-19]
sklearn/covariance/_shrunk_covariance.py  [7 edits, last: 2020-05-19]
sklearn/datasets/_california_housing.py  [7 edits, last: 2020-06-15]
sklearn/datasets/_covtype.py  [7 edits, last: 2020-06-21]
sklearn/datasets/_lfw.py  [7 edits, last: 2020-06-24]
sklearn/datasets/_rcv1.py  [7 edits, last: 2020-06-15]
sklearn/datasets/_twenty_newsgroups.py  [7 edits, last: 2020-06-16]
sklearn/ensemble/_gb_losses.py  [7 edits, last: 2020-06-26]
sklearn/ensemble/_hist_gradient_boosting/loss.py  [7 edits, last: 2020-04-23]
sklearn/inspection/__init__.py  [7 edits, last: 2020-05-25]
sklearn/inspection/_permutation_importance.py  [7 edits, last: 2020-06-25]
sklearn/manifold/_isomap.py  [7 edits, last: 2020-06-08]
sklearn/manifold/_spectral_embedding.py  [7 edits, last: 2020-06-24]
sklearn/neighbors/_regression.py  [7 edits, last: 2020-06-18]
sklearn/covariance/_elliptic_envelope.py  [6 edits, last: 2020-04-26]
sklearn/datasets/_kddcup99.py  [6 edits, last: 2020-06-15]
sklearn/datasets/_olivetti_faces.py  [6 edits, last: 2020-06-15]
sklearn/decomposition/_fastica.py  [6 edits, last: 2020-07-04]
sklearn/linear_model/_huber.py  [6 edits, last: 2020-06-06]
sklearn/linear_model/_omp.py  [6 edits, last: 2020-06-16]
sklearn/linear_model/_theil_sen.py  [6 edits, last: 2020-06-06]
sklearn/manifold/_locally_linear.py  [6 edits, last: 2020-06-08]
sklearn/manifold/_mds.py  [6 edits, last: 2020-06-25]
sklearn/mixture/_gaussian_mixture.py  [6 edits, last: 2020-06-06]
sklearn/model_selection/__init__.py  [6 edits, last: 2017-07-07]
sklearn/neighbors/_classification.py  [6 edits, last: 2020-06-24]
sklearn/neighbors/_nearest_centroid.py  [6 edits, last: 2020-04-24]
sklearn/neural_network/__init__.py  [6 edits, last: 2019-09-10]
sklearn/tree/_export.py  [6 edits, last: 2020-06-06]
