homeassistant/components/sonos/__init__.py  [32 edits, last: 2020-07-18]
homeassistant/components/vizio/config_flow.py  [32 edits, last: 2020-09-02]
homeassistant/components/zha/binary_sensor.py  [32 edits, last: 2020-07-20]
homeassistant/components/homekit/type_covers.py  [31 edits, last: 2020-05-10]
homeassistant/components/homekit/type_switches.py  [31 edits, last: 2020-07-14]
homeassistant/components/homematicip_cloud/hap.py  [31 edits, last: 2020-09-03]
homeassistant/components/plex/const.py  [31 edits, last: 2020-09-03]
homeassistant/components/recorder/purge.py  [31 edits, last: 2020-08-27]
homeassistant/components/websocket_api/commands.py  [31 edits, last: 2020-09-22]
homeassistant/requirements.py  [30 edits, last: 2020-08-05]
homeassistant/auth/providers/__init__.py  [30 edits, last: 2020-08-28]
homeassistant/auth/providers/homeassistant.py  [30 edits, last: 2020-08-25]
homeassistant/components/august/__init__.py  [30 edits, last: 2020-09-16]
homeassistant/components/calendar/__init__.py  [30 edits, last: 2020-05-26]
homeassistant/components/homematicip_cloud/switch.py  [30 edits, last: 2020-08-26]
homeassistant/components/rfxtrx/binary_sensor.py  [30 edits, last: 2020-08-27]
homeassistant/components/samsungtv/media_player.py  [30 edits, last: 2020-08-27]
homeassistant/components/system_log/__init__.py  [30 edits, last: 2020-09-14]
homeassistant/components/telegram_bot/webhooks.py  [30 edits, last: 2020-08-11]
homeassistant/components/unifi/config_flow.py  [30 edits, last: 2020-09-18]
homeassistant/components/zwave/node_entity.py  [30 edits, last: 2020-04-04]
homeassistant/components/buienradar/sensor.py  [29 edits, last: 2020-09-22]
homeassistant/components/deconz/gateway.py  [29 edits, last: 2020-09-22]
homeassistant/components/deconz/light.py  [29 edits, last: 2020-06-04]
homeassistant/components/hassio/ingress.py  [29 edits, last: 2019-12-08]
homeassistant/components/homekit/type_security_systems.py  [29 edits, last: 2020-09-21]
homeassistant/components/homekit_controller/climate.py  [29 edits, last: 2020-08-27]
homeassistant/components/mqtt/cover.py  [29 edits, last: 2020-09-10]
homeassistant/components/owntracks/__init__.py  [29 edits, last: 2020-09-21]
homeassistant/components/plex/sensor.py  [29 edits, last: 2020-08-03]
homeassistant/components/rfxtrx/switch.py  [29 edits, last: 2020-08-27]
homeassistant/components/smartthings/smartapp.py  [29 edits, last: 2020-07-31]
homeassistant/components/template/light.py  [29 edits, last: 2020-09-08]
homeassistant/components/tibber/__init__.py  [29 edits, last: 2020-08-28]
homeassistant/components/upnp/sensor.py  [29 edits, last: 2020-08-30]
homeassistant/components/zone/__init__.py  [29 edits, last: 2020-08-27]
homeassistant/components/elkm1/__init__.py  [28 edits, last: 2020-08-27]
homeassistant/components/homematicip_cloud/alarm_control_panel.py  [28 edits, last: 2020-08-26]
homeassistant/components/homematicip_cloud/climate.py  [28 edits, last: 2020-08-26]
homeassistant/components/kodi/media_player.py  [28 edits, last: 2020-09-18]
homeassistant/components/netatmo/camera.py  [28 edits, last: 2020-09-15]
homeassistant/components/plex/config_flow.py  [28 edits, last: 2020-06-15]
homeassistant/components/rfxtrx/light.py  [28 edits, last: 2020-08-27]
homeassistant/components/stream/__init__.py  [28 edits, last: 2020-09-06]
homeassistant/components/tado/__init__.py  [28 edits, last: 2020-09-07]
homeassistant/components/timer/__init__.py  [28 edits, last: 2020-09-07]
homeassistant/components/withings/common.py  [28 edits, last: 2020-09-15]
homeassistant/components/zha/switch.py  [28 edits, last: 2020-07-20]
homeassistant/components/zha/core/discovery.py  [28 edits, last: 2020-05-20]
homeassistant/components/zwave/discovery_schemas.py  [28 edits, last: 2020-05-14]
homeassistant/components/amcrest/__init__.py  [27 edits, last: 2020-06-24]
homeassistant/components/daikin/config_flow.py  [27 edits, last: 2020-08-27]
homeassistant/components/homekit/type_sensors.py  [27 edits, last: 2020-05-10]
homeassistant/components/honeywell/climate.py  [27 edits, last: 2020-08-27]
homeassistant/components/locative/__init__.py  [27 edits, last: 2020-08-29]
homeassistant/components/mqtt/alarm_control_panel.py  [27 edits, last: 2020-09-10]
homeassistant/components/netatmo/__init__.py  [27 edits, last: 2020-09-04]
homeassistant/components/opentherm_gw/__init__.py  [27 edits, last: 2020-07-23]
homeassistant/components/openuv/__init__.py  [27 edits, last: 2020-08-28]
homeassistant/components/simplisafe/alarm_control_panel.py  [27 edits, last: 2020-07-24]
homeassistant/components/smartthings/climate.py  [27 edits, last: 2020-05-02]
homeassistant/components/spotify/media_player.py  [27 edits, last: 2020-09-12]
homeassistant/components/unifi/__init__.py  [27 edits, last: 2020-04-23]
homeassistant/components/weather/__init__.py  [27 edits, last: 2020-09-02]
homeassistant/components/zha/fan.py  [27 edits, last: 2020-07-20]
homeassistant/components/zha/core/helpers.py  [27 edits, last: 2020-05-20]
homeassistant/helpers/config_entry_flow.py  [27 edits, last: 2020-08-12]
homeassistant/helpers/storage.py  [27 edits, last: 2020-08-27]
homeassistant/helpers/translation.py  [27 edits, last: 2020-08-27]
homeassistant/components/amcrest/camera.py  [26 edits, last: 2020-06-22]
homeassistant/components/deconz/device_trigger.py  [26 edits, last: 2020-08-17]
homeassistant/components/esphome/config_flow.py  [26 edits, last: 2020-09-04]
homeassistant/components/homekit/type_media_players.py  [26 edits, last: 2020-08-27]
homeassistant/components/knx/climate.py  [26 edits, last: 2020-09-21]
homeassistant/components/lifx/light.py  [26 edits, last: 2020-07-05]
homeassistant/components/modbus/__init__.py  [26 edits, last: 2020-05-06]
homeassistant/components/mqtt/light/schema_basic.py  [26 edits, last: 2020-09-10]
homeassistant/components/onvif/device.py  [26 edits, last: 2020-09-06]
homeassistant/components/rfxtrx/cover.py  [26 edits, last: 2020-08-27]
homeassistant/components/ring/camera.py  [26 edits, last: 2020-08-27]
homeassistant/components/template/cover.py  [26 edits, last: 2020-09-08]
homeassistant/components/tesla/__init__.py  [26 edits, last: 2020-08-30]
homeassistant/components/toon/__init__.py  [26 edits, last: 2020-08-12]
homeassistant/components/tradfri/config_flow.py  [26 edits, last: 2020-09-03]
homeassistant/components/websocket_api/http.py  [26 edits, last: 2020-09-22]
homeassistant/util/async_.py  [26 edits, last: 2020-08-29]
homeassistant/util/json.py  [26 edits, last: 2020-08-28]
homeassistant/components/august/binary_sensor.py  [25 edits, last: 2020-07-05]
homeassistant/components/axis/device.py  [25 edits, last: 2020-08-28]
homeassistant/components/generic_thermostat/climate.py  [25 edits, last: 2020-08-27]
homeassistant/components/heos/media_player.py  [25 edits, last: 2020-06-20]
homeassistant/components/homekit_controller/cover.py  [25 edits, last: 2020-04-25]
homeassistant/components/homematicip_cloud/light.py  [25 edits, last: 2020-08-26]
homeassistant/components/isy994/sensor.py  [25 edits, last: 2020-09-08]
