src/transformers/models/pegasus/tokenization_pegasus_fast.py  [11 edits, last: 2021-06-29]
src/transformers/models/t5/tokenization_t5_fast.py  [11 edits, last: 2021-06-29]
src/transformers/models/barthez/tokenization_barthez.py  [10 edits, last: 2021-07-21]
src/transformers/models/bigbird_pegasus/modeling_bigbird_pegasus.py  [10 edits, last: 2021-08-30]
src/transformers/models/blenderbot/__init__.py  [10 edits, last: 2021-07-08]
src/transformers/models/camembert/tokenization_camembert.py  [10 edits, last: 2021-07-21]
src/transformers/models/marian/__init__.py  [10 edits, last: 2021-07-09]
src/transformers/models/mpnet/modeling_mpnet.py  [10 edits, last: 2021-08-03]
src/transformers/models/mt5/__init__.py  [10 edits, last: 2021-08-04]
src/transformers/models/openai/modeling_openai.py  [10 edits, last: 2021-06-14]
src/transformers/models/pegasus/__init__.py  [10 edits, last: 2021-07-08]
src/transformers/models/pegasus/tokenization_pegasus.py  [10 edits, last: 2021-05-13]
src/transformers/models/xlm_roberta/tokenization_xlm_roberta_fast.py  [10 edits, last: 2021-07-08]
src/transformers/sagemaker/trainer_sm.py  [10 edits, last: 2021-05-04]
src/transformers/utils/notebook.py  [10 edits, last: 2021-07-30]
src/transformers/generation_flax_utils.py  [9 edits, last: 2021-08-27]
src/transformers/trainer_seq2seq.py  [9 edits, last: 2021-08-31]
src/transformers/models/camembert/tokenization_camembert_fast.py  [9 edits, last: 2021-06-29]
src/transformers/models/deberta_v2/tokenization_deberta_v2.py  [9 edits, last: 2021-07-15]
src/transformers/models/fsmt/tokenization_fsmt.py  [9 edits, last: 2021-04-26]
src/transformers/models/gpt2/__init__.py  [9 edits, last: 2021-08-31]
src/transformers/models/reformer/configuration_reformer.py  [9 edits, last: 2021-07-26]
src/transformers/models/transfo_xl/modeling_transfo_xl.py  [9 edits, last: 2021-06-14]
src/transformers/models/wav2vec2/__init__.py  [9 edits, last: 2021-08-27]
src/transformers/models/wav2vec2/convert_wav2vec2_original_pytorch_checkpoint_to_pytorch.py  [9 edits, last: 2021-06-09]
src/transformers/models/wav2vec2/tokenization_wav2vec2.py  [9 edits, last: 2021-05-03]
src/transformers/utils/dummy_vision_objects.py  [9 edits, last: 2021-08-30]
src/transformers/commands/run.py  [8 edits, last: 2021-04-15]
src/transformers/data/processors/xnli.py  [8 edits, last: 2021-03-31]
src/transformers/models/albert/tokenization_albert.py  [8 edits, last: 2021-07-21]
src/transformers/models/albert/tokenization_albert_fast.py  [8 edits, last: 2021-06-29]
src/transformers/models/bart/configuration_bart.py  [8 edits, last: 2021-07-08]
src/transformers/models/barthez/tokenization_barthez_fast.py  [8 edits, last: 2021-06-29]
src/transformers/models/blenderbot_small/__init__.py  [8 edits, last: 2021-07-08]
src/transformers/models/blenderbot_small/tokenization_blenderbot_small.py  [8 edits, last: 2021-04-26]
src/transformers/models/deberta/__init__.py  [8 edits, last: 2021-08-12]
src/transformers/models/electra/modeling_flax_electra.py  [8 edits, last: 2021-08-27]
src/transformers/models/hubert/modeling_hubert.py  [8 edits, last: 2021-08-30]
src/transformers/models/layoutlm/__init__.py  [8 edits, last: 2021-07-08]
src/transformers/models/mpnet/tokenization_mpnet.py  [8 edits, last: 2021-07-15]
src/transformers/models/rag/retrieval_rag.py  [8 edits, last: 2021-06-01]
src/transformers/models/reformer/tokenization_reformer.py  [8 edits, last: 2021-05-13]
src/transformers/models/reformer/tokenization_reformer_fast.py  [8 edits, last: 2021-06-29]
src/transformers/models/vit/modeling_vit.py  [8 edits, last: 2021-08-26]
src/transformers/onnx/convert.py  [8 edits, last: 2021-08-30]
src/transformers/pipelines/conversational.py  [8 edits, last: 2021-08-26]
src/transformers/pipelines/fill_mask.py  [8 edits, last: 2021-08-26]
src/transformers/pipelines/question_answering.py  [8 edits, last: 2021-08-26]
src/transformers/pipelines/text2text_generation.py  [8 edits, last: 2021-08-26]
src/transformers/activations_tf.py  [7 edits, last: 2021-04-29]
src/transformers/modeling_flax_pytorch_utils.py  [7 edits, last: 2021-08-05]
src/transformers/commands/add_new_model.py  [7 edits, last: 2021-09-01]
src/transformers/models/auto/feature_extraction_auto.py  [7 edits, last: 2021-09-01]
src/transformers/models/bart/modeling_flax_bart.py  [7 edits, last: 2021-08-12]
src/transformers/models/bert/__init__.py  [7 edits, last: 2021-07-08]
src/transformers/models/dpr/modeling_dpr.py  [7 edits, last: 2021-08-02]
src/transformers/models/dpr/tokenization_dpr.py  [7 edits, last: 2021-03-31]
src/transformers/models/dpr/tokenization_dpr_fast.py  [7 edits, last: 2021-03-31]
src/transformers/models/gpt2/tokenization_gpt2.py  [7 edits, last: 2021-04-26]
src/transformers/models/herbert/tokenization_herbert_fast.py  [7 edits, last: 2021-06-29]
src/transformers/models/longformer/__init__.py  [7 edits, last: 2021-07-08]
src/transformers/models/m2m_100/tokenization_m2m_100.py  [7 edits, last: 2021-08-23]
src/transformers/models/marian/modeling_flax_marian.py  [7 edits, last: 2021-08-12]
src/transformers/models/prophetnet/tokenization_prophetnet.py  [7 edits, last: 2021-07-15]
src/transformers/models/rag/modeling_tf_rag.py  [7 edits, last: 2021-08-30]
src/transformers/models/rag/tokenization_rag.py  [7 edits, last: 2021-03-31]
src/transformers/models/roberta/__init__.py  [7 edits, last: 2021-07-08]
src/transformers/models/roberta/tokenization_roberta.py  [7 edits, last: 2021-04-23]
src/transformers/models/t5/__init__.py  [7 edits, last: 2021-07-08]
src/transformers/models/t5/configuration_t5.py  [7 edits, last: 2021-08-06]
src/transformers/models/visual_bert/modeling_visual_bert.py  [7 edits, last: 2021-08-31]
src/transformers/models/wav2vec2/modeling_tf_wav2vec2.py  [7 edits, last: 2021-07-20]
src/transformers/utils/versions.py  [7 edits, last: 2021-06-09]
src/transformers/feature_extraction_utils.py  [6 edits, last: 2021-05-07]
src/transformers/generation_beam_search.py  [6 edits, last: 2021-04-27]
src/transformers/data/__init__.py  [6 edits, last: 2021-09-01]
src/transformers/data/datasets/__init__.py  [6 edits, last: 2020-12-07]
src/transformers/models/albert/__init__.py  [6 edits, last: 2021-08-30]
src/transformers/models/bart/tokenization_bart.py  [6 edits, last: 2021-03-10]
src/transformers/models/bart/tokenization_bart_fast.py  [6 edits, last: 2021-03-10]
src/transformers/models/bertweet/tokenization_bertweet.py  [6 edits, last: 2021-04-26]
src/transformers/models/bert_generation/tokenization_bert_generation.py  [6 edits, last: 2021-05-13]
src/transformers/models/bert_japanese/tokenization_bert_japanese.py  [6 edits, last: 2021-07-17]
src/transformers/models/big_bird/tokenization_big_bird.py  [6 edits, last: 2021-05-13]
src/transformers/models/blenderbot/configuration_blenderbot.py  [6 edits, last: 2021-07-13]
src/transformers/models/blenderbot/tokenization_blenderbot.py  [6 edits, last: 2021-03-10]
src/transformers/models/ctrl/__init__.py  [6 edits, last: 2021-07-08]
src/transformers/models/deit/modeling_deit.py  [6 edits, last: 2021-08-26]
src/transformers/models/detr/modeling_detr.py  [6 edits, last: 2021-08-30]
src/transformers/models/distilbert/__init__.py  [6 edits, last: 2021-08-30]
src/transformers/models/funnel/__init__.py  [6 edits, last: 2021-07-08]
src/transformers/models/gpt_neo/__init__.py  [6 edits, last: 2021-08-05]
src/transformers/models/gpt_neo/configuration_gpt_neo.py  [6 edits, last: 2021-08-30]
src/transformers/models/ibert/quant_modules.py  [6 edits, last: 2021-06-14]
src/transformers/models/lxmert/modeling_lxmert.py  [6 edits, last: 2021-04-26]
src/transformers/models/marian/convert_marian_to_pytorch.py  [6 edits, last: 2021-08-12]
src/transformers/models/mbart/configuration_mbart.py  [6 edits, last: 2021-08-09]
src/transformers/models/mpnet/tokenization_mpnet_fast.py  [6 edits, last: 2021-06-29]
src/transformers/models/rag/__init__.py  [6 edits, last: 2021-07-08]
src/transformers/models/transfo_xl/__init__.py  [6 edits, last: 2021-07-08]
src/transformers/models/wav2vec2/configuration_wav2vec2.py  [6 edits, last: 2021-09-01]
src/transformers/models/wav2vec2/feature_extraction_wav2vec2.py  [6 edits, last: 2021-08-27]
src/transformers/models/xlm/tokenization_xlm.py  [6 edits, last: 2021-04-26]
src/transformers/models/xlnet/tokenization_xlnet.py  [6 edits, last: 2021-05-13]
src/transformers/models/xlnet/tokenization_xlnet_fast.py  [6 edits, last: 2021-06-29]
