repo,issue_idx,map_type,chars_div_4_estimate,cl100k_base,ministral-3b,deepseek-v4-flash,nemotron-3-super,gpt-oss-120b
pandas,44,cochange,2731,3595,3923,3919,3923,3664
requests,12,structural,1849,2246,2673,2381,2673,2253
requests,12,frequency,175,262,352,267,352,262
requests,12,cochange,346,415,449,420,449,415
requests,13,structural,1878,2289,2720,2424,2720,2296
requests,13,frequency,175,262,352,267,352,262
requests,13,cochange,343,413,446,420,446,413
requests,7,structural,2125,2570,3062,2724,3062,2579
requests,7,frequency,175,262,353,267,353,262
requests,7,cochange,350,419,457,425,457,419
rich,1,structural,11753,13992,16274,14854,16274,14036
rich,1,frequency,878,1447,1836,1485,1836,1448
rich,1,cochange,1572,2253,2448,2407,2448,2315
rich,12,structural,12276,14660,17053,15562,17053,14710
rich,12,frequency,902,1487,1886,1525,1886,1488
rich,12,cochange,1594,2285,2482,2442,2482,2352
rich,8,structural,11967,14306,16626,15181,16626,14353
rich,8,frequency,901,1487,1885,1525,1885,1488
rich,8,cochange,1593,2283,2475,2436,2475,2346
scikit-learn,45,structural,50433,61608,71820,65786,71820,62050
scikit-learn,45,frequency,3705,5504,6795,5732,6795,5538
scikit-learn,45,cochange,8889,10624,11407,11454,11407,10754
scikit-learn,49,structural,47457,58060,67704,61985,67704,58489
scikit-learn,49,frequency,3562,5316,6522,5534,6522,5349
scikit-learn,49,cochange,8503,10256,10897,11032,10897,10362
scikit-learn,5,structural,46547,56854,66339,60743,66339,57264
scikit-learn,5,frequency,3524,5271,6436,5488,6436,5304
scikit-learn,5,cochange,8337,10161,10799,10967,10799,10263
scrapy,20,structural,18583,22293,25798,23625,25798,22359
scrapy,20,frequency,2475,3718,4817,3870,4817,3751
scrapy,20,cochange,5713,6855,8133,7972,8133,6994
scrapy,26,structural,17975,21635,24964,22889,24964,21696
scrapy,26,frequency,2468,3718,4802,3870,4802,3752
scrapy,26,cochange,5721,6841,8053,7921,8053,6976
scrapy,48,structural,14709,17934,20537,18909,20537,17997
scrapy,48,frequency,3484,5192,6623,5429,6623,5242
scrapy,48,cochange,8169,9637,11178,11200,11178,9843
stable-diffusion-webui,0,structural,20154,23672,27726,25859,27726,23718
stable-diffusion-webui,0,frequency,1907,2840,3540,2956,3540,2849
stable-diffusion-webui,0,cochange,3880,4818,5104,5176,5104,4858
stable-diffusion-webui,13,structural,17163,20051,23492,21963,23492,20096
stable-diffusion-webui,13,frequency,1484,2216,2758,2296,2758,2223
stable-diffusion-webui,13,cochange,2998,3743,3955,3973,3955,3767
stable-diffusion-webui,5,structural,20202,23669,27703,25883,27703,23716
stable-diffusion-webui,5,frequency,1899,2823,3519,2938,3519,2832
stable-diffusion-webui,5,cochange,3851,4799,5085,5162,5085,4835
thefuck,10,structural,5767,6898,7877,7538,7877,6917
thefuck,10,frequency,3060,4755,5892,5135,5892,4748
thefuck,10,cochange,5984,7750,9223,9509,9223,8283
thefuck,20,structural,4661,5596,6374,6103,6374,5611
thefuck,20,frequency,2380,3727,4616,4010,4616,3720
thefuck,20,cochange,5516,7166,8447,8672,8447,7645
thefuck,5,structural,3026,3692,4251,3999,4251,3707
thefuck,5,frequency,1383,2210,2741,2363,2741,2205
thefuck,5,cochange,3034,4063,4753,4889,4753,4279
transformers,25,structural,54796,66198,77186,70502,77186,66181
transformers,25,frequency,12060,16364,19591,17257,19591,16417
transformers,25,cochange,31981,37764,40298,40890,40298,37929
transformers,27,structural,53696,64817,75530,69036,75530,64795
transformers,27,frequency,11814,16030,19184,16908,19184,16084
transformers,27,cochange,31296,37035,39617,40137,39617,37134
transformers,5,structural,54758,60787,69813,66784,69821,60901
transformers,5,frequency,4899,6785,8319,7171,8319,6813
transformers,5,cochange,12185,14464,15741,15766,15741,14589
yt-dlp,23,structural,55000,70384,81505,75069,81505,69910
yt-dlp,23,frequency,15419,26815,31463,25983,31463,25740
yt-dlp,23,cochange,33985,57485,60880,56926,60880,53090
yt-dlp,41,structural,54945,70220,81431,74915,81431,69777
yt-dlp,41,frequency,16114,28020,32886,27162,32886,26900
yt-dlp,41,cochange,35069,58271,62533,58451,62533,53585
yt-dlp,45,structural,54915,69606,81084,74453,81084,69283
yt-dlp,45,frequency,15430,26787,31528,25979,31528,25722
yt-dlp,45,cochange,34644,57526,61673,57864,61673,52983
