repo,issue_idx,model,map_condition_raw,rep,n_gt_total,n_gt_touched,frac_gt_touched,n_gt_submitted,frac_gt_submitted,touched_minus_submitted_frac
flask,18,deepseek/deepseek-v4-flash,cochange,3,2,2,1.0,1,0.5,0.5
flask,18,deepseek/deepseek-v4-flash,freq,1,2,2,1.0,1,0.5,0.5
flask,18,deepseek/deepseek-v4-flash,freq,2,2,2,1.0,1,0.5,0.5
flask,18,deepseek/deepseek-v4-flash,freq,3,2,2,1.0,1,0.5,0.5
flask,18,deepseek/deepseek-v4-flash,none,1,2,2,1.0,2,1.0,0.0
flask,18,deepseek/deepseek-v4-flash,none,2,2,2,1.0,1,0.5,0.5
flask,18,deepseek/deepseek-v4-flash,none,3,2,2,1.0,1,0.5,0.5
flask,18,deepseek/deepseek-v4-flash,structural,1,2,2,1.0,2,1.0,0.0
flask,18,deepseek/deepseek-v4-flash,structural,2,2,2,1.0,2,1.0,0.0
flask,18,deepseek/deepseek-v4-flash,structural,3,2,2,1.0,1,0.5,0.5
flask,18,deepseek/deepseek-v4-flash,structural_required,1,2,2,1.0,1,0.5,0.5
flask,18,deepseek/deepseek-v4-flash,structural_required,2,2,2,1.0,2,1.0,0.0
flask,18,deepseek/deepseek-v4-flash,structural_required,3,2,2,1.0,2,1.0,0.0
flask,18,deepseek/deepseek-v4-flash,temporal_cochange,1,2,2,1.0,2,1.0,0.0
flask,18,deepseek/deepseek-v4-flash,temporal_cochange,2,2,2,1.0,1,0.5,0.5
flask,18,deepseek/deepseek-v4-flash,temporal_cochange,3,2,2,1.0,1,0.5,0.5
flask,18,deepseek/deepseek-v4-flash,temporal_cochange_required,1,2,2,1.0,2,1.0,0.0
flask,18,deepseek/deepseek-v4-flash,temporal_cochange_required,2,2,2,1.0,2,1.0,0.0
flask,18,deepseek/deepseek-v4-flash,temporal_cochange_required,3,2,2,1.0,1,0.5,0.5
flask,18,deepseek/deepseek-v4-flash,temporal_frequency,1,2,2,1.0,1,0.5,0.5
flask,18,deepseek/deepseek-v4-flash,temporal_frequency,2,2,2,1.0,2,1.0,0.0
