repo,issue_idx,map_condition_raw,pooled_mean_delta_f1,unhelped,issue_weak,ease_of_connection,map_weak_for_gt,conversion_gap,touched_not_kept_rate,n_touched,baseline_f1,ceiling_effect,any_pipeline_flag,fully_explained
pandas,44,cochange,-0.0417,True,True,misleading,False,True,0.8888888888888888,9.0,0.08333333333333333,False,True,True
stable-diffusion-webui,5,ast_compact,-0.05,True,True,missing-detail,True,True,0.36363636363636365,11.0,0.4166833333333333,False,True,True
requests,13,cochange,-0.0555,True,False,quoted,True,False,0.09090909090909091,11.0,0.9166666666666666,False,True,True
scikit-learn,45,cochange,-0.0556,True,False,quoted,True,False,0.0,11.0,0.6667,False,True,True
yt-dlp,41,ast_compact,-0.0556,True,False,quoted,False,True,1.0,6.0,0.05555833333333333,False,True,True
yt-dlp,45,freq,-0.0694,True,True,investigation-required,False,True,0.3333333333333333,12.0,0.5000249999999999,False,True,True
flask,6,ast_compact,-0.0833,True,False,quoted,False,False,0.08333333333333333,12.0,1.0,True,False,True
fastapi,9,ast_compact,-0.0833,True,False,traceback-direct,False,False,0.09090909090909091,11.0,0.5,False,False,False
fastapi,20,ast_compact,-0.0833,True,False,quoted,True,True,1.0,4.0,0.08333333333333333,False,True,True
core,20,cochange,-0.0833,True,False,quoted,True,False,0.09090909090909091,11.0,1.0,True,True,True
rich,8,cochange,-0.0833,True,True,misleading,True,False,0.16666666666666666,12.0,0.9166666666666666,False,True,True
scrapy,48,freq,-0.0833,True,True,misleading,False,True,0.9230769230769231,13.0,0.13889166666666666,False,True,True
scikit-learn,5,cochange,-0.0833,True,True,investigation-required,True,False,0.0,11.0,1.0,True,True,True
scrapy,26,ast_compact,-0.0833,True,False,quoted,False,False,0.1,10.0,0.8889,False,False,False
stable-diffusion-webui,0,ast_compact,-0.0833,True,False,traceback-direct,False,False,0.08333333333333333,12.0,1.0,True,False,True
rich,8,freq,-0.0833,True,True,misleading,True,False,0.16666666666666666,12.0,0.9166666666666666,False,True,True
gpt-engineer,9,freq,-0.0833,True,True,misleading,False,False,0.25,12.0,0.6944583333333333,False,True,True
flask,18,freq,-0.1111,True,False,quoted,True,True,0.5,24.0,0.72225,False,True,True
pandas,38,cochange,-0.125,True,True,investigation-required,True,False,0.25,12.0,0.6250249999999999,False,True,True
stable-diffusion-webui,13,cochange,-0.1389,True,False,traceback-direct,False,False,0.2857142857142857,7.0,0.6666666666666666,False,False,False
localstack,2,freq,-0.1389,True,True,investigation-required,False,False,0.25,12.0,0.8611166666666666,False,True,True
core,20,ast_compact,-0.1667,True,False,quoted,False,False,0.16666666666666666,12.0,1.0,True,False,True
scikit-learn,45,freq,-0.1667,True,False,quoted,True,False,0.0,9.0,0.6667,False,True,True
gpt-engineer,9,ast_compact,-0.1945,True,True,misleading,False,True,0.4166666666666667,12.0,0.6944583333333333,False,True,True
gpt-engineer,9,cochange,-0.2222,True,True,misleading,True,True,0.4166666666666667,12.0,0.6944583333333333,False,True,True
