repo,issue_idx,map_condition_raw,map_condition,n_models,models,pooled_mean_delta_f1,pooled_mean_delta_recall,delta_f1_std,max_minus_median_delta_f1,outlier_model,outlier_model_delta_f1,median_delta_f1,n_helped_f1,n_hurt_f1,n_neutral_f1,per_model_delta_f1
keras,5,structural_required,structural_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1111,0.0833,0.3849,0.6667,mistral/ministral-3b-latest,0.6667,0.0,1,1,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=-0.222; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.667
stable-diffusion-webui,13,temporal_cochange_required,temporal_cochange_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1111,0.1667,0.2029,0.2222,mistral/ministral-3b-latest,0.3333,0.1111,2,1,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.222; deepseek/deepseek-v4-flash=-0.111; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.333
gpt-engineer,11,temporal_frequency_required,temporal_frequency_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1111,0.1667,0.1283,0.1111,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.2222,0.1111,2,0,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.222; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.222
stable-diffusion-webui,5,structural_required,structural_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1111,0.0833,0.1283,0.1111,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.2222,0.1111,2,0,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.222; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.222
flask,18,structural_required,structural_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1111,0.1667,0.1571,0.2778,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.3333,0.0555,2,0,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.333; deepseek/deepseek-v4-flash=+0.111; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
pandas,26,all_tools_required,all_tools_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0889,-0.0,0.4686,0.8556,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.7778,-0.0778,1,3,0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.778; deepseek/deepseek-v4-flash=-0.267; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=-0.044; mistral/ministral-3b-latest=-0.111
requests,13,structural_required,structural_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0833,0.0833,0.1667,0.3333,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.3333,0.0,1,0,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.333; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
keras,9,structural_required,structural_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0833,0.0833,0.1667,0.3333,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0.3333,0.0,1,0,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.333; mistral/ministral-3b-latest=+0.000
localstack,9,structural_required,structural_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0833,0.0833,0.5693,0.5,mistral/ministral-3b-latest,0.6667,0.1667,2,1,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.333; deepseek/deepseek-v4-flash=-0.667; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.667
flask,3,temporal_frequency_required,temporal_frequency_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0833,0.0833,0.1667,0.3333,deepseek/deepseek-v4-flash,0.3333,0.0,1,0,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.333; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
keras,9,temporal_frequency_required,temporal_frequency_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0833,0.0833,0.1667,0.3333,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0.3333,0.0,1,0,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.333; mistral/ministral-3b-latest=+0.000
flask,18,temporal_frequency_required,temporal_frequency_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0833,0.125,0.1064,0.1667,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.2222,0.0556,2,0,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.222; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.111
thefuck,5,temporal_frequency_required,temporal_frequency_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0833,0.0833,0.1667,0.3333,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0.3333,0.0,1,0,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.333; mistral/ministral-3b-latest=+0.000
core,16,temporal_cochange_required,temporal_cochange_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0833,0.0833,0.1667,0.3333,mistral/ministral-3b-latest,0.3333,0.0,1,0,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.333
keras,9,temporal_cochange_required,temporal_cochange_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0833,0.0833,0.1667,0.3333,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0.3333,0.0,1,0,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.333; mistral/ministral-3b-latest=+0.000
localstack,9,temporal_cochange_required,temporal_cochange_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0833,0.0833,0.5693,0.5,mistral/ministral-3b-latest,0.6667,0.1667,2,1,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.333; deepseek/deepseek-v4-flash=-0.667; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.667
core,16,all_tools_required,all_tools_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0833,0.0833,0.1064,0.1667,mistral/ministral-3b-latest,0.2222,0.0555,2,0,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.111; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.222
requests,13,temporal_frequency_required,temporal_frequency_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0833,0.0833,0.1667,0.3333,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.3333,0.0,1,0,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.333; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
keras,9,all_tools_required,all_tools_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0833,0.0833,0.1667,0.3333,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0.3333,0.0,1,0,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.333; mistral/ministral-3b-latest=+0.000
thefuck,5,all_tools_required,all_tools_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0833,0.0833,0.1667,0.3333,mistral/ministral-3b-latest,0.3333,0.0,1,0,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.333
flask,3,temporal_cochange_required,temporal_cochange_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0833,0.0833,0.1667,0.3333,deepseek/deepseek-v4-flash,0.3333,0.0,1,0,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.333; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
rich,8,temporal_frequency_required,temporal_frequency_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0833,0.0833,0.1667,0.3333,mistral/ministral-3b-latest,0.3333,0.0,1,0,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.333
rich,8,temporal_cochange_required,temporal_cochange_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0833,0.0833,0.1667,0.3333,mistral/ministral-3b-latest,0.3333,0.0,1,0,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.333
flask,3,all_tools_required,all_tools_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0833,0.0833,0.1667,0.3333,deepseek/deepseek-v4-flash,0.3333,0.0,1,0,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.333; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
thefuck,5,temporal_cochange_required,temporal_cochange_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0833,0.0833,0.1667,0.3333,mistral/ministral-3b-latest,0.3333,0.0,1,0,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.333
transformers,5,all_tools_required,all_tools_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0784,0.0667,0.3803,0.0642,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0.3095,0.2454,3,1,0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=-0.487; deepseek/deepseek-v4-flash=+0.296; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.310; mistral/ministral-3b-latest=+0.194
rich,12,temporal_cochange_required,temporal_cochange_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0778,0.0417,0.1277,0.2444,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0.2667,0.0222,2,0,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.044; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.267; mistral/ministral-3b-latest=+0.000
localstack,19,all_tools_required,all_tools_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.072,0.0476,0.0967,0.1629,mistral/ministral-3b-latest,0.2045,0.0417,2,0,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.083; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.205
gpt-engineer,11,all_tools_required,all_tools_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0694,0.0833,0.1052,0.1944,mistral/ministral-3b-latest,0.2222,0.0278,2,0,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.056; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.222
localstack,19,structural_required,structural_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0602,0.0357,0.0791,0.1296,deepseek/deepseek-v4-flash,0.1667,0.037,2,0,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.167; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.074
localstack,2,temporal_frequency_required,temporal_frequency_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0556,0.0,0.1111,0.2222,deepseek/deepseek-v4-flash,0.2222,0.0,1,0,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.222; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
requests,13,temporal_cochange_required,temporal_cochange_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0556,0.0833,0.1924,0.3333,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.3333,0.0,1,1,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.333; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=-0.111
requests,13,all_tools_required,all_tools_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0556,0.0833,0.1924,0.3333,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.3333,0.0,1,1,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.333; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=-0.111
gpt-engineer,11,structural_required,structural_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0556,0.0833,0.1111,0.2222,mistral/ministral-3b-latest,0.2222,0.0,1,0,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.222
flask,18,all_tools_required,all_tools_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0555,0.0833,0.1434,0.1667,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.2222,0.0555,2,1,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.222; deepseek/deepseek-v4-flash=-0.111; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.111; mistral/ministral-3b-latest=+0.000
keras,12,temporal_cochange_required,temporal_cochange_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.0476,0.0333,0.055,0.0476,deepseek/deepseek-v4-flash,0.0952,0.0476,2,0,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.095; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.095
