sklearn/svm/bounds.py  [14 edits, last: 2014-08-18]
sklearn/covariance/tests/test_robust_covariance.py  [13 edits, last: 2013-04-30]
sklearn/datasets/tests/test_20news.py  [13 edits, last: 2013-10-20]
sklearn/externals/joblib/logger.py  [13 edits, last: 2014-05-28]
sklearn/linear_model/setup.py  [13 edits, last: 2014-07-24]
sklearn/metrics/classification.py  [13 edits, last: 2014-12-09]
sklearn/metrics/tests/test_common.py  [13 edits, last: 2014-12-09]
sklearn/svm/setup.py  [13 edits, last: 2014-06-08]
sklearn/tree/tests/test_export.py  [13 edits, last: 2013-09-22]
sklearn/externals/joblib/format_stack.py  [12 edits, last: 2013-12-29]
sklearn/feature_extraction/__init__.py  [12 edits, last: 2012-12-22]
sklearn/feature_extraction/tests/test_dict_vectorizer.py  [12 edits, last: 2014-09-22]
sklearn/linear_model/tests/test_randomized_l1.py  [12 edits, last: 2013-04-30]
sklearn/manifold/__init__.py  [12 edits, last: 2014-05-28]
sklearn/manifold/tests/test_isomap.py  [12 edits, last: 2014-12-04]
sklearn/metrics/cluster/tests/test_unsupervised.py  [12 edits, last: 2014-03-11]
sklearn/tests/test_learning_curve.py  [12 edits, last: 2014-12-18]
sklearn/tree/__init__.py  [12 edits, last: 2013-04-16]
sklearn/cluster/tests/test_dbscan.py  [11 edits, last: 2014-12-25]
sklearn/datasets/olivetti_faces.py  [11 edits, last: 2014-06-26]
sklearn/linear_model/tests/test_passive_aggressive.py  [11 edits, last: 2013-03-15]
sklearn/neighbors/tests/test_kd_tree.py  [11 edits, last: 2013-10-20]
sklearn/preprocessing/tests/test_imputation.py  [11 edits, last: 2014-05-20]
sklearn/tests/test_qda.py  [11 edits, last: 2014-12-27]
sklearn/tree/setup.py  [11 edits, last: 2013-11-22]
sklearn/utils/tests/test_random.py  [11 edits, last: 2014-08-08]
sklearn/utils/tests/test_testing.py  [11 edits, last: 2014-10-14]
sklearn/cluster/tests/test_mean_shift.py  [10 edits, last: 2014-04-04]
sklearn/feature_extraction/hashing.py  [10 edits, last: 2013-07-18]
sklearn/feature_extraction/tests/test_feature_hasher.py  [10 edits, last: 2013-12-27]
sklearn/gaussian_process/tests/test_gaussian_process.py  [10 edits, last: 2014-09-04]
sklearn/svm/__init__.py  [10 edits, last: 2014-12-03]
sklearn/utils/class_weight.py  [10 edits, last: 2014-03-02]
sklearn/utils/tests/test_fixes.py  [10 edits, last: 2014-07-22]
sklearn/utils/tests/test_shortest_path.py  [10 edits, last: 2014-07-18]
sklearn/datasets/california_housing.py  [9 edits, last: 2014-07-13]
sklearn/datasets/tests/test_mldata.py  [9 edits, last: 2013-04-02]
sklearn/ensemble/tests/test_bagging.py  [9 edits, last: 2014-10-07]
sklearn/externals/joblib/disk.py  [9 edits, last: 2013-07-26]
sklearn/gaussian_process/__init__.py  [9 edits, last: 2013-09-06]
sklearn/gaussian_process/correlation_models.py  [9 edits, last: 2013-09-06]
sklearn/manifold/tests/test_mds.py  [9 edits, last: 2013-01-07]
sklearn/mixture/tests/test_dpgmm.py  [9 edits, last: 2013-07-26]
sklearn/neighbors/tests/test_kde.py  [9 edits, last: 2014-11-05]
sklearn/neighbors/tests/test_nearest_centroid.py  [9 edits, last: 2014-10-21]
sklearn/utils/optimize.py  [9 edits, last: 2014-07-22]
sklearn/datasets/covtype.py  [8 edits, last: 2014-07-13]
sklearn/datasets/mlcomp.py  [8 edits, last: 2014-07-28]
sklearn/externals/joblib/my_exceptions.py  [8 edits, last: 2014-05-28]
sklearn/linear_model/tests/test_perceptron.py  [8 edits, last: 2012-11-10]
sklearn/metrics/regression.py  [8 edits, last: 2014-11-20]
sklearn/metrics/tests/test_ranking.py  [8 edits, last: 2014-12-22]
sklearn/mixture/__init__.py  [8 edits, last: 2012-09-04]
sklearn/neighbors/graph.py  [8 edits, last: 2014-12-15]
sklearn/neighbors/tests/test_dist_metrics.py  [8 edits, last: 2013-07-26]
sklearn/semi_supervised/tests/test_label_propagation.py  [8 edits, last: 2014-06-01]
sklearn/utils/sparsetools/__init__.py  [8 edits, last: 2014-09-04]
sklearn/utils/sparsetools/setup.py  [8 edits, last: 2014-09-04]
sklearn/utils/tests/test_fast_dict.py  [8 edits, last: 2014-02-13]
sklearn/utils/tests/test_murmurhash.py  [8 edits, last: 2013-04-30]
sklearn/ensemble/tests/test_gradient_boosting_loss_functions.py  [7 edits, last: 2014-09-18]
sklearn/metrics/tests/test_classification.py  [7 edits, last: 2014-12-09]
sklearn/svm/tests/test_bounds.py  [7 edits, last: 2012-12-22]
sklearn/utils/stats.py  [7 edits, last: 2014-11-05]
sklearn/cross_decomposition/cca_.py  [6 edits, last: 2014-07-28]
sklearn/datasets/setup.py  [6 edits, last: 2013-09-06]
sklearn/ensemble/tests/test_partial_dependence.py  [6 edits, last: 2012-12-22]
sklearn/externals/joblib/pool.py  [6 edits, last: 2014-11-24]
sklearn/externals/joblib/testing.py  [6 edits, last: 2012-11-19]
sklearn/feature_selection/tests/test_chi2.py  [6 edits, last: 2013-06-01]
sklearn/metrics/setup.py  [6 edits, last: 2014-03-24]
sklearn/tests/test_init.py  [6 edits, last: 2012-10-25]
sklearn/utils/metaestimators.py  [6 edits, last: 2014-12-24]
sklearn/utils/sparsetools/tests/test_traversal.py  [6 edits, last: 2013-10-20]
sklearn/utils/tests/test_graph.py  [6 edits, last: 2014-05-20]
sklearn/cluster/tests/common.py  [5 edits, last: 2014-02-05]
sklearn/cross_decomposition/tests/test_pls.py  [5 edits, last: 2014-11-30]
sklearn/decomposition/tests/test_truncated_svd.py  [5 edits, last: 2014-07-22]
sklearn/feature_selection/variance_threshold.py  [5 edits, last: 2014-09-03]
sklearn/gaussian_process/regression_models.py  [5 edits, last: 2013-09-06]
sklearn/linear_model/tests/test_bayes.py  [5 edits, last: 2014-04-03]
sklearn/neighbors/setup.py  [5 edits, last: 2013-03-21]
sklearn/utils/tests/test_class_weight.py  [5 edits, last: 2014-03-02]
sklearn/__check_build/__init__.py  [5 edits, last: 2013-05-04]
sklearn/externals/setup.py  [4 edits, last: 2014-07-17]
sklearn/externals/six.py  [4 edits, last: 2013-09-13]
sklearn/feature_selection/base.py  [4 edits, last: 2014-07-20]
sklearn/feature_selection/from_model.py  [4 edits, last: 2014-11-05]
sklearn/feature_selection/tests/test_base.py  [4 edits, last: 2014-07-20]
sklearn/manifold/setup.py  [4 edits, last: 2014-05-28]
sklearn/metrics/base.py  [4 edits, last: 2014-11-27]
sklearn/preprocessing/tests/__init__.py  [4 edits, last: 2013-07-26]
sklearn/tests/test_check_build.py  [4 edits, last: 2013-04-30]
sklearn/utils/bench.py  [4 edits, last: 2011-12-15]
sklearn/utils/linear_assignment_.py  [4 edits, last: 2014-06-18]
sklearn/datasets/tests/test_covtype.py  [3 edits, last: 2013-10-20]
sklearn/externals/__init__.py  [3 edits, last: 2011-11-20]
sklearn/metrics/cluster/bicluster.py  [3 edits, last: 2014-07-20]
sklearn/preprocessing/_weights.py  [3 edits, last: 2014-07-22]
sklearn/tests/test_metaestimators.py  [3 edits, last: 2014-12-18]
sklearn/utils/tests/test_linear_assignment.py  [3 edits, last: 2013-08-13]
sklearn/utils/tests/test_metaestimators.py  [3 edits, last: 2014-12-19]
sklearn/__check_build/setup.py  [3 edits, last: 2013-04-30]
sklearn/_build_utils.py  [2 edits, last: 2012-08-10]
sklearn/cluster/tests/__init__.py  [2 edits, last: 2011-09-02]
sklearn/covariance/tests/__init__.py  [2 edits, last: 2011-09-02]
sklearn/cross_decomposition/__init__.py  [2 edits, last: 2013-07-25]
sklearn/datasets/tests/__init__.py  [2 edits, last: 2011-09-02]
sklearn/decomposition/incremental_pca.py  [2 edits, last: 2014-09-23]
sklearn/decomposition/tests/__init__.py  [2 edits, last: 2011-09-02]
sklearn/externals/test_externals_setup.py  [2 edits, last: 2011-09-02]
sklearn/feature_extraction/tests/__init__.py  [2 edits, last: 2011-09-02]
sklearn/feature_selection/tests/__init__.py  [2 edits, last: 2011-09-02]
sklearn/feature_selection/tests/test_from_model.py  [2 edits, last: 2014-03-27]
sklearn/feature_selection/tests/test_variance_threshold.py  [2 edits, last: 2014-02-03]
sklearn/gaussian_process/tests/__init__.py  [2 edits, last: 2011-09-02]
sklearn/linear_model/tests/__init__.py  [2 edits, last: 2011-09-02]
sklearn/metrics/cluster/setup.py  [2 edits, last: 2012-11-10]
sklearn/metrics/cluster/tests/test_bicluster.py  [2 edits, last: 2014-07-19]
sklearn/metrics/tests/__init__.py  [2 edits, last: 2011-09-02]
sklearn/metrics/tests/test_regression.py  [2 edits, last: 2014-10-10]
sklearn/mixture/tests/__init__.py  [2 edits, last: 2011-09-02]
sklearn/neural_network/__init__.py  [2 edits, last: 2014-02-03]
sklearn/preprocessing/tests/test_weights.py  [2 edits, last: 2013-07-29]
sklearn/semi_supervised/__init__.py  [2 edits, last: 2012-09-04]
sklearn/svm/tests/__init__.py  [2 edits, last: 2011-09-02]
sklearn/tests/__init__.py  [2 edits, last: 2011-09-02]
sklearn/utils/mocking.py  [2 edits, last: 2014-07-20]
sklearn/utils/sparsetools/_graph_validation.py  [2 edits, last: 2013-07-27]
sklearn/utils/tests/__init__.py  [2 edits, last: 2011-09-02]
sklearn/utils/tests/test_bench.py  [2 edits, last: 2012-12-22]
sklearn/utils/tests/test_stats.py  [2 edits, last: 2014-07-17]
sklearn/cluster/bicluster.py  [1 edits, last: 2014-09-04]
sklearn/cluster/tests/test_bicluster.py  [1 edits, last: 2014-09-04]
