metric,model_short,comparison,n,median_diff,wilcoxon_stat,p_raw,effect_size_r,p_holm
wall_time,gpt-oss-120b,temporal_cochange_vs_baseline,135,-8.020000000000001,2171.5,1.086258663471666e-07,-0.5269063180827886,4.345034653886664e-07
wall_time,gpt-oss-120b,all_tools_vs_baseline,135,-7.34,2834.5,0.00011547281802162785,-0.3824618736383442,0.00029853357653014987
wall_time,ministral-3b,structural_vs_baseline,135,-14.23,347.0,1.177094054385715e-20,-0.924400871459695,3.531282163157145e-20
wall_time,ministral-3b,temporal_frequency_vs_baseline,135,-14.409999999999998,190.0,4.305933025827695e-22,-0.9586056644880174,1.722373210331078e-21
wall_time,ministral-3b,temporal_cochange_vs_baseline,135,-14.379999999999999,370.0,1.8924467055937176e-20,-0.9193899782135077,3.784893411187435e-20
wall_time,ministral-3b,all_tools_vs_baseline,135,-13.200000000000003,654.0,5.403914572250365e-18,-0.857516339869281,5.403914572250365e-18
wall_time,nemotron-super,structural_vs_baseline,135,-1.0300000000000011,4114.0,0.29582802375349326,-0.1037037037037037,1.0
wall_time,nemotron-super,temporal_frequency_vs_baseline,135,-2.4599999999999795,4409.0,0.6909811877909743,-0.03943355119825708,1.0
wall_time,nemotron-super,temporal_cochange_vs_baseline,135,4.579999999999998,4256.0,0.46322162031116465,0.07276688453159041,1.0
wall_time,nemotron-super,all_tools_vs_baseline,135,-3.7299999999999898,4583.0,0.9877339245772905,0.0015250544662309367,1.0
turns,deepseek-flash,structural_vs_baseline,135,0.0,2287.5,0.6240998481848103,-0.05689548546691404,0.6240998481848103
turns,deepseek-flash,temporal_frequency_vs_baseline,135,0.0,1625.0,0.0029672018036972555,0.3434343434343434,0.008901605411091766
turns,deepseek-flash,temporal_cochange_vs_baseline,135,0.0,1206.0,0.00043736263310400597,0.4237935977066412,0.0017494505324160239
turns,deepseek-flash,all_tools_vs_baseline,135,0.0,1792.0,0.02454560184347469,0.2611832611832612,0.04909120368694938
turns,gpt-oss-120b,structural_vs_baseline,135,2.0,2458.0,0.0001695772328711515,0.3855768028996375,0.000678308931484606
turns,gpt-oss-120b,temporal_frequency_vs_baseline,135,0.0,3287.0,0.36783907179992836,0.09449035812672177,0.7356781435998567
turns,gpt-oss-120b,temporal_cochange_vs_baseline,135,0.0,3507.0,0.9924867708310515,0.0009970089730807576,0.9924867708310515
turns,gpt-oss-120b,all_tools_vs_baseline,135,2.0,3198.5,0.019275857301805904,0.23709004174120454,0.05782757190541771
turns,ministral-3b,structural_vs_baseline,135,1.0,3074.5,0.033248968436157295,0.21917460317460316,0.09974690530847188
turns,ministral-3b,temporal_frequency_vs_baseline,135,0.0,3514.0,0.6475979715311156,0.04782549790001355,0.6475979715311156
turns,ministral-3b,temporal_cochange_vs_baseline,135,1.0,3358.0,0.049403758750677214,0.19904591532498508,0.09974690530847188
turns,ministral-3b,all_tools_vs_baseline,135,2.0,2537.0,0.0012557546558442623,0.33464463676894834,0.005023018623377049
turns,nemotron-super,structural_vs_baseline,135,0.0,3181.5,0.9108255803007805,0.012109920819748486,1.0
turns,nemotron-super,temporal_frequency_vs_baseline,135,0.0,2945.5,0.34639087751461306,-0.10129672006102212,1.0
turns,nemotron-super,temporal_cochange_vs_baseline,135,0.0,2880.0,0.5012329778970441,-0.07335907335907337,1.0
turns,nemotron-super,all_tools_vs_baseline,135,0.0,3417.0,0.9249662539336924,0.009995654063450673,1.0
