batch,requested_model,task_idx,map_type,rep,input_tokens,output_tokens,cost,turns,wall_time,stop_reason,precision,recall,f1,model
batch1_medium,mistral/devstral-medium-latest,15,none,3,22353,592,0.00624,10,61.17,submitted,1.0,1.0,1.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,15,none,4,26880,747,0.00607,11,81.06,submitted,1.0,1.0,1.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,4,ast_compact,0,235534,1214,0.043656,20,70.62,max_turns,1.0,1.0,1.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,4,ast_compact,1,109320,833,0.025573,15,58.72,submitted,1.0,0.5,0.6667,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,4,ast_compact,2,33423,738,0.012112,4,22.34,submitted,1.0,1.0,1.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,4,ast_compact,3,44878,901,0.019305,5,44.04,submitted,1.0,1.0,1.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,4,ast_compact,4,54787,954,0.012226,8,63.35,submitted,1.0,0.5,0.6667,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,4,ast,0,138262,887,0.028688,8,162.27,submitted,1.0,0.5,0.6667,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,4,ast,1,309582,1143,0.049735,17,72.11,submitted,1.0,1.0,1.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,4,ast,2,269798,1005,0.048988,15,75.72,submitted,1.0,0.5,0.6667,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,4,ast,3,327080,1344,0.05505,18,182.9,submitted,1.0,0.5,0.6667,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,4,ast,4,113817,1150,0.019052,7,134.38,submitted,1.0,0.5,0.6667,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,4,none,0,52161,811,0.015088,15,126.78,submitted,1.0,1.0,1.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,4,none,1,27643,480,0.008068,11,40.55,submitted,1.0,1.0,1.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,4,none,2,102829,731,0.022478,20,52.72,max_turns,1.0,1.0,1.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,4,none,3,122586,1032,0.026305,20,118.21,max_turns,1.0,1.0,1.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,4,none,4,29218,483,0.007546,11,87.42,submitted,1.0,0.5,0.6667,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,0,ast_compact,0,253743,1630,0.042556,20,47.85,max_turns,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,0,ast_compact,1,176431,1335,0.023834,17,38.34,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,0,ast_compact,2,211843,1147,0.029809,18,41.03,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,0,ast_compact,3,292160,2090,0.026074,20,51.08,max_turns,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,0,ast_compact,4,218780,994,0.023996,20,29.45,max_turns,1.0,1.0,1.0,devstral-medium-2512
