model_dir,model_short,model,task_idx,map_type,rep,issue_title,base_commit,input_tokens,output_tokens,cost,turns,wall_time,stop_reason,precision,recall,f1,empty_prediction,n_predicted_files,n_ground_truth_files,model_pair,pair_name,model_size,provider,architecture,task_type,cached_tokens,cost_usd,cost_usd_uncached
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0,ast_compact,2,AttributeError: 'NoneType' object has no attribute 'read',ccabcf1fca906bfa6b65a3189c1c41061e6c1042,80268,2844,0.013747,9,27.99,end_turn,1.0,1.0,1.0,False,1,1,2,gpt-oss,large,fireworks,MoE,single_file,68215,0.013747,0.013747
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0,ast_compact,3,AttributeError: 'NoneType' object has no attribute 'read',ccabcf1fca906bfa6b65a3189c1c41061e6c1042,85945,3166,0.014791,10,27.5,submitted,1.0,1.0,1.0,False,1,1,2,gpt-oss,large,fireworks,MoE,single_file,80258,0.014791,0.014791
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0,ast_compact,4,AttributeError: 'NoneType' object has no attribute 'read',ccabcf1fca906bfa6b65a3189c1c41061e6c1042,116910,4549,0.020266,13,46.0,submitted,1.0,1.0,1.0,False,1,1,2,gpt-oss,large,fireworks,MoE,single_file,104473,0.020266,0.020266
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0,ast,0,AttributeError: 'NoneType' object has no attribute 'read',ccabcf1fca906bfa6b65a3189c1c41061e6c1042,80997,1056,0.012783,4,13.48,end_turn,1.0,1.0,1.0,False,1,1,2,gpt-oss,large,fireworks,MoE,single_file,62395,0.012783,0.012783
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0,ast,1,AttributeError: 'NoneType' object has no attribute 'read',ccabcf1fca906bfa6b65a3189c1c41061e6c1042,153942,2132,0.02437,9,31.46,submitted,1.0,1.0,1.0,False,1,1,2,gpt-oss,large,fireworks,MoE,single_file,132566,0.02437,0.02437
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0,ast,2,AttributeError: 'NoneType' object has no attribute 'read',ccabcf1fca906bfa6b65a3189c1c41061e6c1042,225297,3949,0.036164,12,46.15,end_turn,1.0,1.0,1.0,False,1,1,2,gpt-oss,large,fireworks,MoE,single_file,198444,0.036164,0.036164
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0,ast,3,AttributeError: 'NoneType' object has no attribute 'read',ccabcf1fca906bfa6b65a3189c1c41061e6c1042,99215,1282,0.015651,5,16.54,end_turn,1.0,1.0,1.0,False,1,1,2,gpt-oss,large,fireworks,MoE,single_file,79180,0.015651,0.015651
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0,ast,4,AttributeError: 'NoneType' object has no attribute 'read',ccabcf1fca906bfa6b65a3189c1c41061e6c1042,196368,3770,0.031717,10,50.63,end_turn,1.0,1.0,1.0,False,1,1,2,gpt-oss,large,fireworks,MoE,single_file,186210,0.031717,0.031717
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0,none,0,AttributeError: 'NoneType' object has no attribute 'read',ccabcf1fca906bfa6b65a3189c1c41061e6c1042,57676,2738,0.010294,20,26.52,end_turn,1.0,1.0,1.0,False,1,1,2,gpt-oss,large,fireworks,MoE,single_file,39716,0.010294,0.010294
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0,none,1,AttributeError: 'NoneType' object has no attribute 'read',ccabcf1fca906bfa6b65a3189c1c41061e6c1042,33239,1992,0.006181,17,24.79,submitted,1.0,1.0,1.0,False,1,1,2,gpt-oss,large,fireworks,MoE,single_file,28850,0.006181,0.006181
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0,none,2,AttributeError: 'NoneType' object has no attribute 'read',ccabcf1fca906bfa6b65a3189c1c41061e6c1042,43583,2599,0.008097,20,39.35,max_turns,0.0,0.0,0.0,True,0,1,2,gpt-oss,large,fireworks,MoE,single_file,34325,0.008097,0.008097
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0,none,3,AttributeError: 'NoneType' object has no attribute 'read',ccabcf1fca906bfa6b65a3189c1c41061e6c1042,58571,2620,0.010358,20,34.73,max_turns,1.0,1.0,1.0,False,1,1,2,gpt-oss,large,fireworks,MoE,single_file,42835,0.010358,0.010358
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0,none,4,AttributeError: 'NoneType' object has no attribute 'read',ccabcf1fca906bfa6b65a3189c1c41061e6c1042,18857,1943,0.003994,10,15.83,end_turn,1.0,1.0,1.0,False,1,1,2,gpt-oss,large,fireworks,MoE,single_file,15632,0.003994,0.003994
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,12,ast_compact,0,Not possible to specify max_retries in v1.X?,be62645dd56580dd7576032b348cf79d880851d8,155713,3936,0.025719,16,52.03,end_turn,1.0,0.3333,0.5,False,1,3,2,gpt-oss,large,fireworks,MoE,multi_file,127020,0.025719,0.025719
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,12,ast_compact,1,Not possible to specify max_retries in v1.X?,be62645dd56580dd7576032b348cf79d880851d8,159115,3574,0.026012,20,39.97,max_turns,0.0,0.0,0.0,True,0,3,2,gpt-oss,large,fireworks,MoE,multi_file,141238,0.026012,0.026012
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,12,ast_compact,2,Not possible to specify max_retries in v1.X?,be62645dd56580dd7576032b348cf79d880851d8,127600,3038,0.020963,15,32.74,end_turn,1.0,0.3333,0.5,False,1,3,2,gpt-oss,large,fireworks,MoE,multi_file,98866,0.020963,0.020963
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,12,ast_compact,3,Not possible to specify max_retries in v1.X?,be62645dd56580dd7576032b348cf79d880851d8,112661,2611,0.018466,14,28.46,end_turn,0.0,0.0,0.0,True,0,3,2,gpt-oss,large,fireworks,MoE,multi_file,79736,0.018466,0.018466
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,12,ast_compact,4,Not possible to specify max_retries in v1.X?,be62645dd56580dd7576032b348cf79d880851d8,130874,3436,0.021693,15,36.87,end_turn,1.0,0.3333,0.5,False,1,3,2,gpt-oss,large,fireworks,MoE,multi_file,107072,0.021693,0.021693
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,12,ast,0,Not possible to specify max_retries in v1.X?,be62645dd56580dd7576032b348cf79d880851d8,321981,10435,0.054558,19,109.21,end_turn,1.0,0.3333,0.5,False,1,3,2,gpt-oss,large,fireworks,MoE,multi_file,283120,0.054558,0.054558
